Comparison,Gene,logFC,p_value,-log10(p_value),Regulation
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_111,0.1850028,0.24393912,0.6127186,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_174,-0.21695471,0.24425638,0.61215407,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_104,0.20021391,0.24730957,0.6067591,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_002,0.23636913,0.25147396,0.599507,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_030,0.18693018,0.25667733,0.59061253,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,FABP4,0.17520571,0.2568936,0.5902467,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_105,0.21228409,0.261649,0.58228093,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_089,-0.16534138,0.26170334,0.58219075,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_049,0.19696712,0.2667139,0.5739544,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_152,-0.19837236,0.26688206,0.57368064,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,PTEN,0.21404552,0.26780462,0.57218194,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_176,-0.20889044,0.26982448,0.5689187,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_138,0.20406103,0.28217658,0.549479,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_029,0.2129364,0.28443435,0.54601794,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_094,0.21588564,0.2905951,0.5367117,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_093,-0.20245695,0.29123595,0.53575504,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_173,0.19053793,0.304786,0.516005,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_054,-0.19707394,0.31423432,0.5027464,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_077,-0.20047379,0.31700206,0.4989379,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,MKI67,-0.19542027,0.33225843,0.47852397,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_130,-0.16995144,0.33233878,0.47841898,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_142,-0.17862797,0.33380646,0.47650528,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_061,0.16390657,0.34546095,0.46160102,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_046,-0.1911254,0.35324654,0.4519221,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_085,0.18438578,0.37190047,0.42957327,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,MMP9,0.14978933,0.39282262,0.4058035,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_154,-0.17085171,0.40206707,0.3957015,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_053,-0.16862488,0.40383413,0.39379698,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,TP53,-0.15318394,0.40600336,0.39147037,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_119,0.18013763,0.41406408,0.38293245,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_112,-0.17076921,0.41588864,0.38102293,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_168,0.16716051,0.42026788,0.3764738,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_022,0.16507816,0.42155537,0.37514538,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_156,-0.16106749,0.43138227,0.3651377,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_070,-0.14968395,0.43948722,0.35705376,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_045,-0.13641644,0.44582024,0.3508402,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_059,-0.15583372,0.4494978,0.34727246,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_006,-0.16549635,0.4550137,0.34197554,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_109,-0.16268158,0.456202,0.3408428,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_163,0.11236048,0.45928627,0.33791655,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_162,-0.1511302,0.46374974,0.33371633,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_034,0.14154387,0.4648693,0.33266914,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,PPARG,0.14104748,0.46732908,0.3303772,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_004,-0.14819813,0.46774846,0.32998765,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_120,-0.14928484,0.47156358,0.32645974,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_090,-0.13510656,0.47732666,0.3211843,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_124,0.14996433,0.47740105,0.32111663,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_014,-0.14005756,0.477677,0.3208657,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_143,0.14157295,0.496525,0.30405888,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_072,0.11577225,0.5013453,0.2998631,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_171,0.12877989,0.5121592,0.290595,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_041,0.11416054,0.5164303,0.28698826,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_068,-0.11757898,0.5169165,0.2865796,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,HMGA2,0.12190962,0.5191259,0.28472733,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_057,0.12249613,0.5191993,0.2846659,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,BCL2,0.14516592,0.5192375,0.28463393,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_169,-0.12140846,0.52073884,0.28338003,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_098,-0.1383357,0.521557,0.28269827,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_128,0.1341095,0.5265555,0.27855587,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_126,0.108341694,0.5340479,0.27241978,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_116,-0.123687744,0.5341887,0.27230534,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_108,0.111457825,0.5520366,0.25803214,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_035,0.1020422,0.5541959,0.25633672,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_036,-0.11525154,0.5634876,0.24911565,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_047,0.12299585,0.56429124,0.24849671,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_158,-0.11092758,0.56772894,0.24585898,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_016,0.109345436,0.56935287,0.24461849,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_056,0.113788605,0.57341427,0.24153152,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_039,0.11697531,0.57506806,0.24028076,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_114,0.10251379,0.58878523,0.2300431,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_131,-0.10287571,0.59164083,0.22794187,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_052,0.11609745,0.591642,0.22794099,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_117,0.09310484,0.59727,0.2238293,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_055,0.10075283,0.60197955,0.22041827,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_096,0.09447765,0.6028997,0.21975495,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_141,-0.09556389,0.6173479,0.20947003,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_177,0.094913006,0.6222999,0.20600027,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_025,-0.0973506,0.6269443,0.20277105,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,LPL,-0.089242935,0.6285003,0.20169453,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_148,0.09663582,0.63145804,0.1996555,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_125,0.09309769,0.6334463,0.19829021,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,MYLK,0.07627058,0.64610153,0.18969923,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_145,-0.07546806,0.65215164,0.1856514,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_095,0.09005308,0.6563562,0.1828604,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_179,0.07610893,0.66433036,0.1776159,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_079,-0.08898258,0.6698229,0.17404003,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_032,0.06720638,0.67620003,0.16992483,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_146,0.08908367,0.6767559,0.16956796,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_151,0.08024931,0.6768933,0.16947979,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_140,0.06779575,0.69673073,0.15693504,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_050,0.07544565,0.7004102,0.15464756,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_038,-0.073530674,0.7005388,0.1545678,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,CCND1,0.06492376,0.7065106,0.15088132,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_082,0.076453686,0.70864004,0.14957432,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_118,-0.06436014,0.71454394,0.14597107,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_043,-0.09286547,0.71460027,0.14593683,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_106,-0.06303787,0.7241791,0.14015402,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_153,0.06492329,0.72508776,0.13960943,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_127,0.05276251,0.72598535,0.13907215,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_063,-0.062414646,0.7320809,0.13544095,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_031,0.06274843,0.7328455,0.1349876,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_083,0.06378651,0.7348345,0.13381048,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_040,-0.06455517,0.74560666,0.12749022,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_087,0.06357908,0.7515103,0.12406506,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_024,-0.05979252,0.75445867,0.12236455,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_133,-0.04913044,0.7549924,0.1220574,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,RB1,-0.061718464,0.7577775,0.12045828,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_003,0.049240112,0.7633344,0.11728517,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_101,-0.05627489,0.7658793,0.11583968,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,CALD1,0.060802937,0.76697713,0.1152176,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_103,-0.05391836,0.77056676,0.11318973,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_080,0.05783844,0.7798122,0.10800997,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_175,0.04673195,0.7890109,0.10291701,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_147,0.043890953,0.8026132,0.095493704,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,CDK4,-0.043634415,0.80732214,0.09295314,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_155,-0.048357487,0.8124437,0.090206735,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_027,-0.047997475,0.8133084,0.08974473,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,ACTA2,-0.046827316,0.8167536,0.08790893,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_074,0.037771225,0.82132465,0.085485145,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,CNN1,0.040222645,0.8264696,0.08277312,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_097,0.047085762,0.8268734,0.08256097,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_009,0.040184498,0.8335152,0.07908646,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_139,0.0401783,0.8369266,0.07731264,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,ADIPOQ,-0.035580635,0.8371203,0.07721213,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_167,0.03155136,0.8463238,0.07246345,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_149,0.035978794,0.8535154,0.06878865,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_100,0.037703037,0.85749835,0.06676671,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_150,0.032891273,0.85826707,0.06637755,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_001,-0.031645775,0.87991726,0.055558164,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_123,-0.025486946,0.8847102,0.05319897,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_110,-0.029542446,0.8902406,0.0504926,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_136,-0.023236275,0.91199976,0.040005278,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_121,-0.0142707825,0.93355155,0.029861698,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_107,-0.016396046,0.93450177,0.029419873,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_007,0.014422417,0.93964386,0.02703672,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,TPM2,-0.013092518,0.94545406,0.024359569,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_166,0.011180401,0.9476096,0.023370547,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_069,0.009488106,0.95748115,0.018869769,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_042,0.009588718,0.959418,0.017992139,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_161,-0.007490635,0.97372586,0.011563298,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_144,0.006559849,0.9741578,0.011370684,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_023,0.0058903694,0.9759081,0.010591078,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_081,-0.00605011,0.9780031,0.0096597755,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_086,0.0051732063,0.9787302,0.00933701,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_115,0.0045027733,0.9792684,0.009098272,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_102,-0.0034832954,0.98683137,0.005757055,Not Significant
Osteosarcoma vs Rhabdomyosarcoma,SARC_GENE_160,0.0008635521,0.99677217,0.0014040961,Not Significant
Leiomyosarcoma vs Liposarcoma,CDK4,-3.052783,3.9130342e-26,25.407486,Higher in Liposarcoma
Leiomyosarcoma vs Liposarcoma,MDM2,-3.1366448,8.274174e-25,24.082275,Higher in Liposarcoma
Leiomyosarcoma vs Liposarcoma,MYH11,2.732782,1.5892369e-24,23.798811,Higher in Leiomyosarcoma
Leiomyosarcoma vs Liposarcoma,CNN1,2.9050512,7.601947e-24,23.119076,Higher in Leiomyosarcoma
Leiomyosarcoma vs Liposarcoma,ACTA2,3.1097713,3.2952885e-23,22.482107,Higher in Leiomyosarcoma
Leiomyosarcoma vs Liposarcoma,FABP4,-3.073194,6.6194957e-22,21.179174,Higher in Liposarcoma
Leiomyosarcoma vs Liposarcoma,TAGLN,2.9788637,2.5145907e-21,20.599533,Higher in Leiomyosarcoma
Leiomyosarcoma vs Liposarcoma,TPM2,2.5653572,9.8972774e-21,20.004484,Higher in Leiomyosarcoma
Leiomyosarcoma vs Liposarcoma,PPARG,-2.6448617,6.021753e-20,19.220278,Higher in Liposarcoma
Leiomyosarcoma vs Liposarcoma,HMGA2,-2.3194299,7.8315024e-20,19.106155,Higher in Liposarcoma
Leiomyosarcoma vs Liposarcoma,MYLK,2.187132,4.8013067e-17,16.31864,Higher in Leiomyosarcoma
Leiomyosarcoma vs Liposarcoma,CEBPA,-2.094779,5.081589e-17,16.294,Higher in Liposarcoma
Leiomyosarcoma vs Liposarcoma,LPL,-2.1053228,8.5113746e-16,15.070001,Higher in Liposarcoma
Leiomyosarcoma vs Liposarcoma,CALD1,2.1425114,5.0737384e-15,14.294672,Higher in Leiomyosarcoma
Leiomyosarcoma vs Liposarcoma,DES,1.9758239,9.1907235e-14,13.036651,Higher in Leiomyosarcoma
Leiomyosarcoma vs Liposarcoma,ADIPOQ,-2.0365782,2.4868432e-13,12.604352,Higher in Liposarcoma
Leiomyosarcoma vs Liposarcoma,SARC_GENE_024,-0.5303116,0.0067418404,2.1712215,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_111,-0.51860476,0.007229562,2.140888,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_154,-0.4721427,0.0105574615,1.9764404,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_069,-0.39512873,0.026550863,1.5759213,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_023,-0.3629732,0.03252278,1.4878124,Not Significant
Leiomyosarcoma vs Liposarcoma,IBSP,0.37280083,0.054436415,1.2641104,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_125,0.36831427,0.06549018,1.1838238,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_059,-0.32358217,0.06635005,1.1781588,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_039,0.31162405,0.070096724,1.1543024,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_056,0.3145895,0.071416326,1.1462024,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_148,0.34989738,0.071805835,1.1438403,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_106,-0.35243654,0.07756576,1.11033,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_144,0.32781267,0.07843323,1.1054999,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_057,0.35133505,0.08052448,1.0940721,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_001,0.292706,0.084500074,1.0731429,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_130,-0.3121996,0.08768747,1.0570625,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_177,-0.3333168,0.093746684,1.0280441,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_097,-0.28840065,0.09668566,1.014638,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_146,0.29457045,0.110568784,0.9563675,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_048,-0.32092762,0.1157139,0.93661445,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_126,0.2981968,0.1230164,0.910037,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_170,-0.2698717,0.1273949,0.894848,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_108,-0.2983842,0.12803534,0.89267015,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_045,0.3218503,0.12913886,0.8889431,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_095,-0.3363595,0.12945077,0.88789535,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_060,-0.28878164,0.13119608,0.8820791,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_010,-0.32469034,0.13247387,0.8778698,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_151,-0.2746482,0.1353486,0.86854625,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_094,-0.3005247,0.13836412,0.8589765,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_166,0.2875905,0.14228198,0.8468501,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_175,0.24959421,0.1469044,0.8329652,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_052,0.28737164,0.14802751,0.82965755,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_171,-0.2585082,0.14968409,0.82482433,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_167,0.2706728,0.15015705,0.82345426,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_030,0.2743063,0.16347818,0.7865402,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_098,-0.2576232,0.16389602,0.7854316,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_180,-0.27980995,0.16834447,0.77380115,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_176,0.272707,0.17347722,0.76075757,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_083,0.2762313,0.17812525,0.7492745,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_087,-0.27291203,0.1790556,0.7470121,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_003,-0.26116562,0.18075326,0.74291384,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_104,0.24530935,0.18875642,0.72409827,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_075,-0.25173426,0.1963611,0.7069446,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_163,-0.22616816,0.19713463,0.7052371,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_135,-0.20769835,0.20128193,0.6961952,Not Significant
Leiomyosarcoma vs Liposarcoma,PTEN,-0.2882719,0.20250222,0.6935702,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_078,-0.19089174,0.22353527,0.65065396,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_070,-0.23687744,0.22453314,0.64871955,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_058,-0.21618128,0.22490099,0.64800864,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_105,-0.23944664,0.22590859,0.64606726,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_038,0.24108219,0.22672637,0.644498,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_035,0.25176668,0.2296439,0.6389451,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_120,0.20890093,0.23968698,0.62035555,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_132,-0.22970867,0.24428958,0.61209506,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_055,0.22981691,0.2518339,0.5988859,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_156,0.24578667,0.25314564,0.5966296,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_129,0.20060205,0.25657877,0.5907793,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_149,-0.21951151,0.2568814,0.5902674,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_134,0.22903824,0.26185158,0.5819448,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_178,-0.20393085,0.2623453,0.5811267,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_084,-0.21436691,0.2639337,0.5785052,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_034,0.20679665,0.2659324,0.57522875,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_005,0.21593237,0.27081415,0.5673287,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_073,0.23019552,0.27289,0.5640124,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_015,-0.208395,0.27680147,0.55783165,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_141,-0.20037985,0.28417626,0.5464122,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_029,-0.20653105,0.28688633,0.54229015,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_116,0.20499086,0.29334944,0.5326147,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_096,0.21304512,0.308038,0.5113957,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_044,-0.23014116,0.30919826,0.509763,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_040,0.19700527,0.31536672,0.50118417,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_079,0.22270155,0.32116622,0.49327016,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_013,0.20624447,0.32163337,0.4926389,Not Significant
Leiomyosarcoma vs Liposarcoma,MYF5,-0.1697278,0.32360777,0.48998106,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_142,-0.18267918,0.3240242,0.48942256,Not Significant
Leiomyosarcoma vs Liposarcoma,BGLAP,0.18958807,0.32780278,0.4843874,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_160,-0.15157938,0.3311548,0.47996897,Not Significant
Leiomyosarcoma vs Liposarcoma,TNNT3,-0.19404268,0.3403682,0.46805102,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_147,0.17568779,0.3436341,0.46390375,Not Significant
Leiomyosarcoma vs Liposarcoma,PAX3,0.16812468,0.35192642,0.45354813,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_017,0.18646717,0.35684833,0.44751632,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_074,0.16904211,0.36990896,0.43190515,Not Significant
Leiomyosarcoma vs Liposarcoma,VEGFA,0.17836905,0.3706465,0.4310401,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_090,0.18991566,0.37457415,0.42646217,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_118,-0.17026901,0.37498853,0.42598203,Not Significant
Leiomyosarcoma vs Liposarcoma,SARC_GENE_113,-0.1837511,0.37641755,0.42433015,Not Significant
